label,runtime,energy
BT_64_2.0GHz,489.69,82758.457173
BT_64_turbo,431.35,100039.770750
BT_64_1.70GHz,545.15,78517.325366
BT_64_1.50GHz,588.53,77667.132715
BT_128_2.00GHz,492.30,89836.478617
BT_128_turbo,450.89,108004.453647
BT_64_2.0GHz_220W,492.54,82840.100442
BT_64_2.0GHz_200W,498.96,84890.869967
BT_64_2.0GHz_180W,497.28,82966.747472
BT_64_2.0GHz_160W,499.55,83328.032637
BT_64_2.0GHz_140W,512.11,81374.119752
BT_64_1.70GHz_220W,543.20,78178.764613
BT_64_1.70GHz_200W,543.08,78248.056088
BT_64_1.70GHz_180W,542.35,78234.032719
BT_64_1.70GHz_160W,546.69,78665.408956
BT_64_1.70GHz_140W,558.17,78043.643106
BT_64_1.70GHz_120W,638.42,78171.490925
BT_64_1.50GHz_220W,591.52,77557.181569
BT_64_1.50GHz_200W,588.24,77427.931311
BT_64_1.50GHz_180W,591.14,77593.722831
BT_64_1.50GHz_160W,598.44,78209.248373
BT_64_1.50GHz_140W,593.22,77307.215675
BT_64_1.50GHz_120W,645.96,78569.276797
BT_64_turbo_220W,449.50,98711.254020
BT_64_turbo_200W,461.13,94298.009181
BT_64_turbo_180W,478.65,88159.176381
BT_64_turbo_160W,510.41,83740.165834
BT_64_turbo_140W,553.26,79428.381843
BT_64_turbo_120W,630.54,77422.657459
