label,runtime,energy
FT_64_turbo,107.57,24781.3732
FT_128_turbo,93.63,21800.9522
FT_128_2.0GHz,98.79,20242.5460
FT_64_2.0GHz,122.77,22569.357415
FT_128_1.70GHz,110.99,19948.251448
FT_128_1.50GHz,121.65,19836.973100
FT_128_turbo_220W,96.60,20874.724731
FT_128_turbo_200W,101.69,20537.448807
FT_128_turbo_180W,108.02,20046.746690
FT_128_turbo_160W,117.81,19461.843406
FT_128_turbo_140W,140.57,20161.352611
FT_128_turbo_120W,178.07,21959.616472
FT_128_2.0GHz_220W,99.76,20191.584827
FT_128_2.0GHz_200W,102.54,19290.285612
FT_128_2.0GHz_180W,108.77,19029.925618
FT_128_2.0GHz_160W,118.64,19053.074811
FT_128_2.0GHz_140W,139.47,20017.354839
FT_128_2.0GHz_120W,179.47,22135.102986
FT_128_1.70GHz_220W,111.75,20127.358199
FT_128_1.70GHz_200W,111.78,19861.546521
FT_128_1.70GHz_180W,112.92,19393.757038
FT_128_1.70GHz_160W,118.77,18758.819353
FT_128_1.70GHz_140W,140.28,19929.059539
FT_128_1.70GHz_120W,177.09,21813.306197
FT_128_1.50GHz_220W,122.79,20093.377244
FT_128_1.50GHz_200W,121.40,19956.100804
FT_128_1.50GHz_180W,121.65,19975.271169
FT_128_1.50GHz_160W,123.13,19107.072552
FT_128_1.50GHz_140W,140.05,19748.901925
FT_128_1.50GHz_120W,177.13,21821.349025
