label,runtime,energy
LU_128_2.0GHz,336.58,63745.607607
LU_128_2.0GHz_turbo,303.50,73443.755317
LU_64_turbo,284.94,67830.989213
LU_64_turbo_220W,293.12,65010.281767
LU_64_turbo_200W,306.01,62642.109208
LU_64_turbo_180W,318.88,58818.513365
LU_64_turbo_160W,337.07,55409.828636
LU_64_turbo_140W,365.34,52501.775183
LU_64_turbo_120W,433.54,53356.702635
LU_64_2.0GHz,326.51,58165.228653
LU_64_2.0GHz_220W,326.23,57853.934555
LU_64_2.0GHz_200W,326.01,57553.020872
LU_64_2.0GHz_180W,326.85,57307.179566
LU_64_2.0GHz_160W,339.95,54314.920599
LU_64_2.0GHz_140W,366.88,52504.928860
LU_64_2.0GHz_120W,433.27,53350.099354
LU_64_1.70GHz,361.69,55322.732799
LU_64_1.70GHz_220W,361.56,55815.840782
LU_64_1.70GHz_200W,361.87,55390.794556
LU_64_1.70GHz_180W,361.98,55581.359103
LU_64_1.70GHz_160W,363.48,54997.737948
LU_64_1.70GHz_140W,375.64,53232.933874
LU_64_1.70GHz_120W,432.93,53236.179815
LU_64_1.50GHz,392.84,54633.398528
LU_64_1.50GHz_220W,393.31,54522.615698
LU_64_1.50GHz_200W,394.06,54990.808009
LU_64_1.50GHz_180W,393.89,54602.064761
LU_64_1.50GHz_160W,394.18,54705.218941
LU_64_1.50GHz_140W,397.72,53846.191055
LU_64_1.50GHz_120W,438.18,53643.109745
