label,runtime,energy
lu_1740_1,243.28,56827.702
lu_1725_1,243.78,55861.230
lu_1665_1,246.16,52548.100
lu_1605_1,248.83,49812.206
lu_1545_1,251.72,47646.768
lu_1485_1,255.05,46094.908
lu_1425_1,258.86,44559.320
lu_1365_1,263.05,43948.780
lu_1305_1,267.89,43591.27
lu_1245_1,273.57,43346.24
lu_1185_1,279.82,43049.78
lu_1125_1,286.99,43381.28
lu_1065_1,295.56,43774.102
lu_1005_1,306.08,44639.552
lu_945_1,318.30,45468.982
lu_885_1,332.51,46556.188
lu_825_1,350.27,47880.590
lu_765_1,373.04,49758.112
lu_705_1,399.37,51989.022
lu_645_1,431.41,54681.560
lu_585_1,470.02,57779.772
