label,runtime,energy
unoptimised MG_64_2.0GHz,67.67,10810.2532
Tiling_resid_MG_64_2.0GHz,57.24,9362.885033
Tiling_psinv_MG_64_2.0GHz,51.23,8428.269106
Tiling_psinv_MG_64_1.70GHz,51.19,7878.626724
Tiling_psinv_MG_64_1.50GHz,51.24,7649.400221
Tiling_psinv_MG_64_turbo,50.77,11651.099158
Tiling_psinv_MG_128_turbo,53.72,13016.193922
Tiling_psinv_MG_128,53.64,9201.673827
T_psinv_64_turbo_220W,50.79,11334.485283
T_psinv_64_turbo_200W,50.87,10489.269852
T_psinv_64_turbo_180W,50.88,9462.627389
T_psinv_64_turbo_160W,52.82,8746.119933
T_psinv_64_turbo_140W,53.72,7803.189920
T_psinv_64_turbo_120W,54.90,6831.142992
T_psinv_64_2.0GHz_220W,51.08,8407.884357
T_psinv_64_2.0GHz_200W,51.05,8420.399640
T_psinv_64_2.0GHz_180W,51.04,8408.169941
T_psinv_64_2.0GHz_160W,51.31,8321.930550
T_psinv_64_2.0GHz_140W,53.69,7775.845449
T_psinv_64_2.0GHz_120W,54.91,6823.456621
T_psinv_64_1.70GHz_220W,51.21,7873.621947
T_psinv_64_1.70GHz_200W,51.25,7883.972577
T_psinv_64_1.70GHz_180W,51.22,7869.376286
T_psinv_64_1.70GHz_160W,51.21,7878.594285
T_psinv_64_1.70GHz_140W,52.81,7509.192338
T_psinv_64_1.70GHz_120W,54.80,6741.232114
T_psinv_64_1.50GHz_220W,51.20,7572.305010
T_psinv_64_1.50GHz_200W,51.30,7646.635868
T_psinv_64_1.50GHz_180W,51.24,7577.981474
T_psinv_64_1.50GHz_160W,51.21,7565.845246
T_psinv_64_1.50GHz_140W,52.38,7311.776888
T_psinv_64_1.50GHz_120W,54.83,6815.350564
