label,runtime,energy
SP_64_2.0GHz,29.06,4930.315587
SP_128_2.0GHz,46.02,7656.925970
SP_64_turbo,28.51,6702.419073
SP_128_turbo,45.39,11021.151694
SP_64_1.70GHz,29.80,4712.462687
SP_64_1.50GHz,29.71,4501.248344
SP_64_turbo_220W,28.58,6484.210982
SP_64_turbo_200W,28.55,6007.503350
SP_64_turbo_180W,28.71,5328.608954
SP_64_turbo_160W,30.16,5037.112478
SP_64_turbo_140W,30.95,4541.779421
SP_64_turbo_120W,33.00,4137.629851
SP_64_2.0GHz_220W,29.13,4926.601652
SP_64_2.0GHz_200W,29.11,4930.875098
SP_64_2.0GHz_180W,29.21,4939.075998
SP_64_2.0GHz_160W,29.77,4853.062654
SP_64_2.0GHz_140W,30.97,4531.216704
SP_64_2.0GHz_120W,32.99,4141.406098
SP_64_1.70GHz_220W,29.52,4604.144101
SP_64_1.70GHz_200W,29.63,4609.005787
SP_64_1.70GHz_180W,29.53,4607.102855
SP_64_1.70GHz_160W,29.66,4690.874799
SP_64_1.70GHz_140W,30.73,4441.338860
SP_64_1.70GHz_120W,32.93,4136.609212
SP_64_1.50GHz_220W,29.90,4503.088398
SP_64_1.50GHz_200W,29.88,4505.562910
SP_64_1.50GHz_180W,30.49,4533.178455
SP_64_1.50GHz_160W,29.89,4505.887738
SP_64_1.50GHz_140W,30.67,4349.896186
SP_64_1.50GHz_120W,32.95,4133.439943
